polymer_id,unique_polymer_id,Polymer_names
313,158,polycristalline silicon
314,158,MWCNT‐polyimide
315,159,Makrofol DE polycarbonate
316,160,Mannich polyols
317,161,Melamine polyphosphate
318,161,acrylated poly(ester-amide)s
319,162,poly(cycloolefin)s
320,162,Metallocene polyethylene
321,163,Methoxy poly(ethylene glycol)
322,163,Monomethoxy poly(ethylene glycol)
323,164,hexadecyl-poly(ethylene glycol)
324,164,Methoxy poly(ethylene oxide)
325,164,Methoxy poly(ethylene glycol)s
326,165,Monomethoxy poly(ethylene oxide)
327,165,Methoxypoly(ethylene glycol)
328,165,Methoxy poly(ethylene glycol) amine
329,166,Methoxypolyethylene glycol
330,166,poly(ethylene glycol)monomethyl ether
331,167,Methoxypolyethylene glycols
332,167,Methoxypolyethylene glycol amine
333,167,Monomethoxy polyethylene glycol
334,168,Mn SA polyesters
335,168,aliphatic polyether polyols
336,169,polyterthiophenes
337,169,poly(ferrocenophane)s
338,169,MnO2-poly(o-aminophenol)
339,169,N‐substituted polypyrroles
340,169,poly(dimethyltin esters)
341,170,polyCAME
342,170,MpolyP
343,171,nonyl phenol polyoxyethylene   ether carboxylate
344,171,polyolester
345,171,"N TET‐Sil, 3,4‐ epoxyclohexylethyl‐cyclopolymethylsiloxane"
346,172,N-alkyl-substituted polyacrylamide
347,172,poly(nVIM‐Tf2N)
348,173,"poly(α,β‐N‐substituted‐DL‐aspartamide)s"
349,173,N-ester-substituted polyacrylamides
350,174,N-phenylpolythiazaalkane
351,174,perillaldehyde polysulfone
352,174,poly(diaminosulfide)
353,175,N-picolylpolyurethane transition metal
354,175,bis(polyrotaxane)
355,176,HAp-poly(MPC-IA)
356,176,ND-poly(Phe-PEGMA-IA)
357,177,NLO polyimides
358,178,NLO polyurethane
359,179,poly(SS)
360,179,NNMBA‐crosslinked aminopolyacrylamide
361,180,Na poly(styrene sulfonate)
362,181,Na-polyP
363,182,NaBiS2 polycrystals
364,183,NaP5W30 heteropoly blue
365,184,Nafion-poly(pyrrole)
366,184,polysilylamide
367,185,poly(G1cbz-TEG)
368,185,Ni(poly)
369,186,poly(amic acid methyl ester)s
370,186,poly(dimethyl) siloxane
371,186,polyvinylcarbosilane
372,186,hydroxyethyl methacrylate-poly(lactide)
373,186,1-halopolyynes
374,186,poly(BuAc)
375,186,NiFe2O4-polybenzoxazine-LLDPEAll
376,187,Nujol−polyethylene
377,188,N‐(3‐chloro‐2‐hydroxypropyl)polyamideamine
378,189,N‐halamine polysiloxane
379,190,N‐implanted polyimide
380,191,O-(2-aminoethyl)-O′-galactosyl polyethylene glycol
381,191,polyethylene glycol dilevulinate
382,192,O-polysaccharides
383,193,ODA polyimide
384,194,ODA−PMDA poly(amic acid)
385,195,ODA−PMDA polyimide
386,196,P11‐poly(HPMA)
387,196,poly(EGMA45‐EtDEC5)
388,196,P11‐poly(HPMA)5k
389,196,poly(EGMA45‐EtDOD5)
390,196,P11‐poly(HPMA)2k
391,196,polyPEGMA‐ferritin
392,197,ATTA‐poly(AEMA)
393,197,GA‐PS‐PAA‐polystyrene
394,197,PS‐PAA‐polystyrene
395,197,PAA‐polystyrene
396,197,ATTA‐poly(AEMA)‐Au
397,198,PAMAM dendron‐PLL polyplexes
398,199,PBGalx homopolyester
399,199,PGalxT homopolyester
400,200,poly(BnDCT-HMDA)
401,200,PBGalx homopolyesters
402,201,PBGalx polyesters
403,202,PCL-polyols
404,203,PC‐polyolefin
405,204,PDMS-polyester
406,204,polyoctylsiloxane
407,205,PDMS-polyurea
408,205,polyurea-amides
409,206,polyester-polyols
410,206,PECH polyols
411,206,poly(glycerol methacrylate)s
412,207,PEG  polyethylene glycol
413,208,PEG poly(ethylene glycol)
414,209,PEG polyrotaxanes
415,209,PEG polyrotaxane
416,210,poly(vinylbenzaldehyde)
417,210,polythioketal
418,210,hexylsubstituted poly(lactic acid)
419,210,PEGylated poly(diselenide-phosphate)
420,210,poly(PAA)
421,210,poly(β-thioester)s
422,211,PEGylated poly(urea-urethane)
423,212,PEGylated polyHIPE
424,212,poly(ethylene glycol) bis-(3-aminopropyl)
425,213,PEGylated polypeptide
426,214,PEGylated polysiloxane
427,215,PEGylated polystyrene
428,215,rGO-poly(C3N3S3)
429,215,succinylated poly(glycidol)
430,215,poly-L-glutamic acid
431,216,PEO polyethylene oxide
432,217,"PEO‐segmented poly(iminoisophthaloyliminomethylene‐1,3‐cyclohexylenemethylene)"
433,217,poly(dimethylaminoethyl methacrylate methyl chloride)
434,218,PETItBI terpolyesters
435,219,PEmK polyesters
436,220,poly(P1‐alt‐SO2)
437,220,poly(P3‐alt‐SO2)
438,220,PI‐2 polyimide
439,220,poly(P4‐alt‐SO2)
440,220,PI‐1 polyimide
441,221,PLA polylactic acid
442,221,C‐TSP‐modified polyamide
443,221,C‐TSP‐glyoxal‐polyisocyanate
444,221,C‐TSP‐polyisocyanate
445,222,PMDA‐ODA polyimide
446,223,PMDA‐PDA polyimide
447,224,PMMA poly(methyl methacrylate)
448,225,polycrystalline copper
449,225,PMR-15 polyimide
450,225,poly(tetrafluoro-p-xylylene)
451,226,POPPMDA‐mDAPPO polyimide
452,227,MWCNT‐crosslinked polyurethane
453,227,polyamidoacid
454,227,PPy-polyurethane
455,228,PC polycarbonate
456,228,PVME poly(vinyl methyl ether)
457,228,PS polystyrene
458,229,PS polysulfone
459,230,PS‐poly‐AA
460,230,PS‐poly‐MAC
461,230,PS‐poly‐AM
462,230,poly(L‐Glu(OBzl))
463,230,poly(L‐Ala)‐immobilized
464,230,poly(L‐Asp(OBzl))
465,230,poly(L‐Phe)
466,231,PTFE‐modified polyacrylate
467,231,poly(NIPAAm‐AAm‐VP)
468,232,Pd polycrystalline
469,233,Sodium polystyrene sulphonate
470,233,Pentasodium tripolyphosphate
471,234,poly-Glu-Tyr
472,234,Pentosan polysulphate
473,235,Perfluoropolyether
474,236,Phenolphthalein poly(ether sulfone)
475,237,Pluronic polyols
476,238,linear polyarylamides
477,238,poly(3OAcCOE)
478,238,Pseudopolyrotaxanes
479,238,poly(3EtCOE)
480,239,poly(BBaph)
481,239,poly(Bzph)
482,239,poly(15‐N‐a)
483,239,alumina‐filled polybenzoxazine
484,239,poly(Baph)
485,239,poly(Bafph)
486,239,poly(1‐N‐a)
487,239,Psy-cl-poly(AAc)
488,239,Gd-cl-poly(AAm)ZIO
489,239,poly(15‐N‐ala)
490,240,Psy‐cl‐poly(AA)
491,241,Psy‐cl‐poly(AA)‐IV
492,241,"TM2,12 polyionenes"
493,242,Psy‐cl‐poly(MAAc)
494,243,polysilafluorene
495,243,cyclic polyene
496,243,"poly(3,6-carbazole)"
497,243,polyaryleneethynylene
498,243,Pt polyynes
499,243,polyplatinynes
500,243,platinum polyyne
501,244,organopolysilanes
502,244,Pt-polyynes
503,245,polyPEG
504,245,Py-Im polyamides
505,246,Q‐poly(METAI)
506,246,Q‐poly(METAF)
507,247,RO polyamide
508,248,poly(LA-grad-CL)
509,248,ROMP‐derived poly(NBE)
510,249,poly(silane)
511,249,polyaminocarboxylates
512,249,Ruthenium polypyridyl
513,249,"poly(2-methoxy-5-(2‘-ethylhexyloxy)-1,4-phenylenevinylene)"
514,249,poly(metalla-ynes)
515,249,"poly(3,4-ethylenedioxythiophene) PEDOT"
516,250,sodium dodecyl sulfate‐polyacrylamide
517,250,sodium dodecyl sulphate polyacrylamide
518,250,sodium dodecylsulfate‐polyacrylamide
519,250,(SDS)-polyacrylamide
520,250,SDS-polyacrylamide
521,250,polyacrylmide
522,250,sodium dodecyl sulfate polyacrylamide
523,250,Sodium dodecyl sulfate polyacrylamide
524,250,polyacrilamide
525,250,Sodium dodecyl sulphate‐polyacrylamide
526,250,SDS polyacrylamide
527,250,sodium dodecyl sulphate‐polyacrylamide
528,250,Sodium dodecyl sulfate‐polyacrylamide
529,251,SO2 polyol
530,252,SR-poly(DTE carbonate)
531,252,polyglycolic acid-hyaluronan
532,253,SWCNT-polyethylene
533,254,polyMPC‐corona
534,254,SiO2-PDA-poly(NIPAM)
535,255,Sil-poly(ODA-alt-OMI)
536,255,Sil-poly(ODA-alt-DGMI)
537,255,Sil-poly(ODA)
538,256,Sodium poly(styrene sulfonate)
539,257,polystyrene sulfonic acid sodium
540,257,Sodium poly(styrenesulfonate)
541,257,poly(styrenesulfonic acid) sodium
542,258,Sodium polyacrylate
543,259,Sodium polystyrene sulfonate
544,260,Sodium polystyrenesulfonate
545,261,Sodium tripolyphosphate
546,262,TBA polyacrylate
547,263,poly(SNS-ERRR)
548,263,poly (4-methoxyphenol)
549,263,poly(SNS-ERR)
550,263,"polythiophene 1,3-dithiole-2-ones"
551,263,TCAA‐imprinted polypyrrole
552,264,polydivinylbenzenes
553,264,polyoxazoles
554,264,TDP polyesters
555,265,TEA polyurethane
556,266,TEMPO‐capped polystyrene
557,267,TEMPO‐capped polystyrenes
558,268,TETA polyurea
559,269,TETA-TBAC polyamide
560,269,6FDA‐durene polyimide
561,269,polypiperazinamide
562,270,THT triptycene polyester
563,270,poly(adipic ester)
564,270,poly(glc-6-glc-6)
565,270,poly-MVP
566,271,poly(EDOT‐COOH)
567,271,TMC-polycarbonate
568,272,virgin polyamide
569,272,TMDMA polyamide
570,273,TMP‐poly(styrene)
571,273,TMP‐poly(propylene)
572,274,TPU‐polyether
573,275,Terpolyester
574,275,poly(vinyl)silazane
575,275,poly(DHO2)
576,276,TiO2‐triethoxysilane‐capped polythiourethane
577,277,Tpn-cl-poly(AAmPSA)
578,278,Trogamid polyamide
579,279,UV‐curable polyurethane acrylates
580,280,polyphtalamides
581,280,UV‐irradiated polypropylene
582,281,Vinyl polynorbornene
583,282,Waterborne polyacrylate
584,283,acetylated polyester
585,284,acetylated polymannose
586,285,acetylated polyrotaxane
587,286,acetylated polystyrene
588,287,acid-terminating poly(amino)ester
589,288,acrylate-endcapped polyurethane
590,289,acrylated poly(ethylene glycol)
591,290,poly(norbornene sulfone)
592,290,polyethylene glycol 400 diacrylate
593,290,acrylated polyester
594,291,acrylated polyurethane
595,292,(aminomethyl)polystyrene
596,292,acrylic polyol
597,292,Sorbitol polyglycidyl ether
598,293,RC-poly(HEMA)
599,293,RC-poly(DMAEMA)-CAT
600,293,RC-poly(HEMA)-CAT
601,293,RC-poly(AA)
602,293,RC-poly(DMAEMA)
603,293,actinopolymorphol A
604,294,poly(MHOT)
605,294,polyADPA
606,294,polyimide (R)-7a
607,294,poly(ABNE)
608,294,poly(amine-hydrazide) I-TPH
609,294,C-polyol
610,294,polyarylate Ib
611,294,poly-OVSC
612,294,poly (N‐methyl aniline)
613,294,A-polyol
614,294,poly(1-TMS)
615,294,poly(ABN)
616,294,poly(phenacyl methacrylate)s
617,294,poly(AABN)
618,294,neutral red substituted polyaniline
619,294,acylpolysilanes
620,295,aliphatic homopolyamides
621,296,aliphatic poly(amido‐amine)
622,296,poly(oxyalkylene)amine
623,297,poly (ethylene glycols)
624,297,aliphatic poly(dimethyltin esters)
625,298,aliphatic poly(ester amide)s
626,298,pseudo-poly(amino acid)s
627,299,aliphatic poly(imide−imide)s
628,300,aliphatic polyacetamidines
629,301,aliphatic polyamide
630,302,aliphatic polyamines
631,302,polyethersulphones
632,302,polycyclic carbonates
633,302,poly(amide-ether)
634,302,hydrocarbon polyols
635,303,aliphatic polyanhydrides
636,304,poly(ester-amides)
637,304,polyether macrodiols
638,304,poly(carbonates)
639,304,poly(ester-ether)s
640,304,aliphatic polycarbonate
641,305,poly(carbonate)s
642,305,poly(ester)s
643,305,aliphatic polycarbonates
644,305,poly(β-thioether ester)s
645,306,aliphatic polyesteramide
646,307,aliphatic polyether
647,308,poly(imides)
648,308,polyaryl ethers
649,308,polybenzobisazoles
650,308,aliphatic polyimides
651,308,poly(pyrimidine)
652,309,aliphatic polyisocyanate
653,310,aliphatic polyketone
654,311,aliphatic polyketones
655,312,aliphatic polysulfides
656,313,aliphatic polyurea
657,314,aliphatic−aliphatic polyketanils
658,315,alkyl polyglucosides
659,316,alkyl polyglycoside
660,317,alkyl polyglycosides
661,318,alkylphenol polyoxyethylene   ether
662,318,p‐octyl polyethylene glycol phenyl ether
663,318,poly-α-olefin
664,319,alkylpolyglucosides
665,320,molecular-weight polyethylene
666,320,all-polyethylene
667,320,epoxy‐functionalized polyethylenes
668,320,epoxy‐functionalized polyethylene
669,320,β-polypropylene
670,321,allyl ester of dimeric acid polyamide
671,321,polyhydroxyacrylate
672,321,dimeric acid polyamide
673,322,allyl polyethylene glycol
674,323,polyethylene oxide methacrylate
675,323,allyl polyoxyethylene ether
676,324,polyhydromethylsiloxane
677,324,allylhydridopolycarbosilane
678,325,allylpolyethoxy carboxylate
679,326,allyl‐polyethylene glycol
680,327,all-polypropylene
681,327,poly(ethylene terephthlate)
682,327,poly (phenylene ether)
683,327,all‐polyamide
684,328,all‐polyester
685,329,aluminium polyphosphate
686,330,aluminized polyethylene
687,331,amidoximated poly(DPAAm)
688,331,poly(dithiourethane‐amine)
689,332,polyacryloamidoxime
690,332,silica polyamine
691,332,amidoximated polyacrylonitrile
692,333,amino polysiloxane
693,333,aluminum polychloride
694,334,amino-functionalized polyesters
695,335,polyNSAs
696,335,amino-telechelic poly(tetrahydrofuran)
697,336,aminoethylpolysilane
698,337,aminomethyl polystyrene
699,338,aminopolycarboxylate
700,339,ammonia polysulfone
701,339,sulphonated polysulfone
702,339,poly(5‐(methacrylamido)tetrazole)
703,340,ammonium carboxylate perfluoropolyether
704,341,ammonium poly(phosphate)
705,341,poly(ester-ether)urethanes
706,342,silicone‐modified polyesters
707,342,ammonium polyacrylate
708,342,polyoxyethylene aryl ether
709,343,ammonium salt of poly(methacrylic acid)
710,343,ammonium polymethacrylate
711,344,ammonium polysulfide
712,344,poly(hydroxyl imide)
713,345,amphoteric polyacrylamide
714,346,amphoteric polyacrylate
715,347,aniline polyphosphazene
716,348,arenepolyols
717,349,arm‐attached poly(HEMA‐EGDMA)
718,349,l-polylysin
719,350,aryl polyester
720,351,aryl polyesters
721,351,nonpolyolefin
722,351,polypropylene−polystyrene
723,352,atactic poly(vinyl chloride)
724,353,atactic polystyrene
725,353,poly(icosyl itaconate)
726,354,attached-poly(POSS-MA)
727,355,azelate polyols
728,356,azido-functionalized polystyrene
729,356,poly(globalide)
730,357,azido-poly(PEGMA)
731,357,alkynyl-poly(META)
732,358,azidomethyl polystyrene
733,358,azido-polycaprolactone
734,359,azidopolyesters
735,360,polycyanate esters
736,360,NLO polycarbonates
737,360,azo polyamides
738,361,azo polyurethane
739,362,azo polyurethane-urea
740,363,poly(N-isopropylacrylamide)s
741,363,azo polyurethanes
742,363,poly(di‐n‐alkyl itaconates)
743,364,azo-polysiloxanes
744,365,azo-polyurethanes
745,366,azobenzene polythiophenes
746,366,"4NTm,p poly(ester amide)s"
747,367,azobenzene polyurethane
748,367,poly(o‐bromoaniline)
749,368,poly(P‐aea8)
750,368,azopolyamides
751,369,azopolyimide
752,370,azopolyimides
753,371,polyoxyethylene polyaryl ether
754,371,poly(ethylene glycol) ether
755,371,azopolysiloxane
756,372,azopolysiloxanes
757,373,benzenepolycarboxylic acids
758,373,polyalkylene dicarboxylates
759,374,homopolyisobutylene
760,374,poly(t-butylstyrene)
761,374,benzoylated polystyrene
762,374,poly(T6TPP)
763,375,benzylated poly(allylamine)
764,376,bicyclic polystyrene
765,377,bile salts-(polyethylene glycol)2000-bile
766,378,bimodal‐MWD polyethylene
767,379,homo-polyimides
768,379,binaphthalene polyimides
769,380,bio-polyamides
770,381,poly-hydroxybutyrate
771,381,bio-polyester
772,382,bio-polyethylene
773,382,polymandelic acid
774,383,bio-polyols
775,384,biopolyamide
776,385,poly(vinyl-chloride)
777,385,biopolyamides
778,385,polyvinylacetates
779,386,biopolyimide
780,386,polyurethane‐alkyd
781,387,Br‐polyol
782,387,biopolyols
783,388,bio‐polyol phosphonate
784,389,biphenyl bisazo polyurethane
785,390,biphenyl polyamide
786,391,bis(pseudopolyrotaxane)s
787,392,bis-Boc-polyamine
788,392,polyoxyethylene   sorbitan
789,393,bis-MPA polyester-16-hydroxyl
790,394,bisphenol A polycarbonates
791,395,bisphenol A polyhydroxy ether
792,395,polymethacrylate guanidine
793,396,bisphenol A polysulfone
794,396,Bisphenol A polysulfone
795,397,bisphenol A-polycarbonate
796,398,bisphenol A‐polycarbonate
797,399,bisphenol A−polycarbonate
798,400,bisphenol Z polycarbonate
799,400,poly(ethylene glycol)dimethyl ether
800,401,poly(4-oxybenzoate)
801,401,bisphenol polycarbonate
802,402,bisphenol-A polycarbonates
803,402,polylactide-poly(ethylene glycol)
804,403,bisphenol-A-polycarbonate
805,404,polyhydroxy fatty acids
806,404,bisphenol‐A polysulfone
807,405,boron‐modified polysilazanes
808,405,boron‐modified polysilazane
